codigo_municipio;codigo_proyecto;codigo_recurso;año;trimestre;tipo_contraprestacion;valor_contraprestacion;cantidad_producida
5001;1;1;2023;1;REGALIAS;1376849;5543
5001;1;1;2023;2;REGALIAS;6047739;22264
5001;1;2;2023;1;REGALIAS;23502864;133637.04
5001;1;2;2023;2;REGALIAS;2115523;10649.88
5001;1;3;2023;1;REGALIAS;2678874;43070
5001;1;3;2023;2;REGALIAS;2823888;40196
5001;1;4;2023;1;REGALIAS;31589078;283022.4
5001;1;4;2023;2;REGALIAS;35892961;284714.4
5001;1;5;2023;1;REGALIAS;6525312;0.000736
5001;1;6;2023;1;REGALIAS;34475;0.0003
5002;1;1;2023;2;REGALIAS;2088159;7442
5004;1;5;2023;1;REGALIAS;825784;0.000093
5004;1;5;2023;1;REGALIAS;240772;0.000026
5004;1;5;2023;1;REGALIAS;846017;0.000092
5004;1;5;2023;2;REGALIAS;139392;0.000015
5004;1;5;2023;2;REGALIAS;61062;0.000007
5004;1;6;2023;1;REGALIAS;1907;0.000017
5004;1;6;2023;1;REGALIAS;418;0.000004
5004;1;6;2023;1;REGALIAS;1635;0.000014
5004;1;6;2023;2;REGALIAS;186;0.000002
5004;1;6;2023;2;REGALIAS;69;0.000001
5030;1;7;2023;2;REGALIAS;320482568;14678
5030;1;1;2023;1;REGALIAS;1484382;5291
5030;1;1;2023;2;REGALIAS;4591751;16366
5030;1;2;2023;1;REGALIAS;15831359;0
5031;1;8;2023;1;REGALIAS;1889958;1863
5031;1;1;2023;1;REGALIAS;1114483;3972
5031;1;1;2023;2;REGALIAS;2656817;9469
5031;1;9;2023;1;REGALIAS;3554989;3103
5031;1;9;2023;2;REGALIAS;3535305;2732
5031;1;5;2023;1;REGALIAS;61140056;0.006897
5031;1;5;2023;1;REGALIAS;241067063;0.024915
5031;1;5;2023;1;REGALIAS;171289644;0.001782
5031;1;5;2023;2;REGALIAS;207443506;0.021016
5031;1;5;2023;2;REGALIAS;192497954;0.019166
5031;1;5;2023;2;REGALIAS;124181390;0.012886
5031;1;6;2023;1;REGALIAS;113873;0.001112
5031;1;6;2023;1;REGALIAS;209250;0.001819
5031;1;6;2023;1;REGALIAS;129142;0.001167
5031;1;6;2023;2;REGALIAS;325218;0.000308
5031;1;6;2023;2;REGALIAS;174516;0.001547
5031;1;6;2023;2;REGALIAS;150411;0.001322
5034;1;5;2023;1;REGALIAS;5657509;0.00073
5034;1;5;2023;1;REGALIAS;37955826;0.005027
5034;1;5;2023;1;REGALIAS;313382745;0.041301
5034;1;5;2023;2;REGALIAS;235949077;0.030468
5034;1;5;2023;2;REGALIAS;208387806;0.026064
5034;1;5;2023;2;REGALIAS;306771066;0.003433
5034;1;6;2023;1;REGALIAS;4301;0.000046
5034;1;6;2023;1;REGALIAS;69003;0.00073
5034;1;6;2023;1;REGALIAS;218128;0.002346
5034;1;6;2023;2;REGALIAS;339962;0.003943
5034;1;6;2023;2;REGALIAS;152448;0.001647
5034;1;6;2023;2;REGALIAS;447549;0.004013
5036;1;7;2023;2;REGALIAS;88513450;4054
5036;1;10;2023;2;REGALIAS;7661537;5978
5040;1;5;2023;1;REGALIAS;1305418366;0.283556
5040;1;5;2023;1;REGALIAS;898930244;0.185687
5040;1;5;2023;1;REGALIAS;893955125;0.154877
5040;1;5;2023;2;REGALIAS;717588074;0.124597
5040;1;5;2023;2;REGALIAS;520772754;0.090779
5040;1;5;2023;2;REGALIAS;227339761;0.003454
5040;1;6;2023;1;REGALIAS;26587338;0.277844
5040;1;6;2023;1;REGALIAS;897202;0.015308
5040;1;6;2023;1;REGALIAS;798706;0.011671
5040;1;6;2023;2;REGALIAS;728095;0.010382
5040;1;6;2023;2;REGALIAS;641690;0.009863
5040;1;6;2023;2;REGALIAS;404274;0.004399
5040;1;11;2023;1;REGALIAS;3535050;0.000692
5042;1;2;2023;2;REGALIAS;20600506;174733.05
5042;1;2;2023;1;REGALIAS;3501224;29692.98
5042;1;2;2023;2;REGALIAS;3276698;24602.94
5042;1;4;2023;2;REGALIAS;2083287;2464.8
5042;1;5;2023;1;REGALIAS;20802893;0.002387
5042;1;5;2023;1;REGALIAS;43750846;0.000492
5042;1;5;2023;1;REGALIAS;66697251;0.007292
5042;1;5;2023;2;REGALIAS;37588092;0.004102
5042;1;5;2023;2;REGALIAS;73503066;0.007867
5042;1;5;2023;2;REGALIAS;66029186;0.007089
5042;1;6;2023;1;REGALIAS;63595;0.000592
5042;1;6;2023;1;REGALIAS;68040;0.000591
5042;1;6;2023;1;REGALIAS;123214;0.001073
5042;1;6;2023;2;REGALIAS;108840;0.000994
5042;1;6;2023;2;REGALIAS;190708;0.001767
5042;1;6;2023;2;REGALIAS;189457;0.001636
5044;1;5;2023;1;REGALIAS;810525;0.000088
5044;1;5;2023;2;REGALIAS;423727;0.000046
5044;1;5;2023;2;REGALIAS;1264694;0.000136
5044;1;6;2023;1;REGALIAS;1201;0.000011
5044;1;6;2023;2;REGALIAS;342;0.000003
5044;1;6;2023;2;REGALIAS;2356;0.000021
5045;1;1;2023;2;REGALIAS;2513376;28414
5055;1;5;2023;2;REGALIAS;1540008;0.000166
5055;1;6;2023;2;REGALIAS;2078;0.000018
5079;1;2;2023;2;REGALIAS;6816150;64379.1
5079;1;5;2023;1;REGALIAS;5460530;0.000624
5079;1;5;2023;1;REGALIAS;30869227;0.003584
5079;1;5;2023;1;REGALIAS;32666969;0.004048
5079;1;5;2023;2;REGALIAS;33033021;0.003902
5079;1;5;2023;2;REGALIAS;20136669;0.002164
5079;1;5;2023;2;REGALIAS;30262099;0.000344
5079;1;6;2023;1;REGALIAS;275102;0.002587
5079;1;6;2023;1;REGALIAS;325465;0.002951
5079;1;6;2023;1;REGALIAS;632373;0.005551
5079;1;6;2023;2;REGALIAS;391588;0.000362
5079;1;6;2023;2;REGALIAS;550558;0.005155
5079;1;6;2023;2;REGALIAS;385709;0.003356
5086;1;5;2023;1;REGALIAS;422610;0.000058
5086;1;5;2023;1;REGALIAS;650186;0.00009
5086;1;6;2023;1;REGALIAS;847;0.000009
5086;1;6;2023;1;REGALIAS;1077;0.000011
5088;1;2;2023;1;REGALIAS;5133382;29189.16
5088;1;2;2023;2;REGALIAS;6782691;34144.74
5088;1;4;2023;1;REGALIAS;19138966;216427.2
5088;1;4;2023;2;REGALIAS;13277146;105319.2
5088;1;5;2023;1;REGALIAS;1777097;0.000395
5088;1;5;2023;1;REGALIAS;569796;0.000124
5088;1;5;2023;2;REGALIAS;436452;0.000093
5088;1;5;2023;2;REGALIAS;827274;0.000178
5088;1;6;2023;1;REGALIAS;2090;0.000036
5088;1;6;2023;1;REGALIAS;578;0.000011
5088;1;6;2023;2;REGALIAS;351;0.000007
5088;1;6;2023;2;REGALIAS;783;0.000014
5107;1;2;2023;1;REGALIAS;174099;0
5107;1;4;2023;1;REGALIAS;260450;0
5107;1;4;2023;2;REGALIAS;213247;0
5107;1;5;2023;1;REGALIAS;33118599;0.003763
5107;1;6;2023;1;REGALIAS;107123;0.000961
5113;1;12;2023;1;REGALIAS;85665830;0.621
5113;1;12;2023;1;REGALIAS;17633472;12.057
5113;1;12;2023;2;REGALIAS;213397547;127.699
5113;1;2;2023;2;REGALIAS;619112;3116.88
5113;1;3;2023;2;REGALIAS;4809782;68464
5113;1;5;2023;1;REGALIAS;5486655948;0.629377
5113;1;5;2023;1;REGALIAS;3480471046;0.379892
5113;1;5;2023;1;REGALIAS;8528109387;0.942389
5113;1;5;2023;2;REGALIAS;3648186420;0.390337
5113;1;5;2023;2;REGALIAS;8430824457;0.909334
5113;1;5;2023;2;REGALIAS;6635928630;0.712362
5113;1;6;2023;1;REGALIAS;213950805;2058344
5113;1;6;2023;1;REGALIAS;31660630;0.28
5113;1;6;2023;1;REGALIAS;411408205;3617243
5113;1;6;2023;2;REGALIAS;31177158;0.29
5113;1;6;2023;2;REGALIAS;343584435;3125859
5113;1;6;2023;2;REGALIAS;241601564;2131233
5120;1;2;2023;1;REGALIAS;268410;1526.04
5120;1;13;2023;2;REGALIAS;740;0
5120;1;4;2023;1;REGALIAS;588830;5275.2
5120;1;5;2023;1;REGALIAS;86748424;0.008775
5120;1;5;2023;1;REGALIAS;180241610;0.018289
5120;1;5;2023;1;REGALIAS;321612159;0.035929
5120;1;5;2023;2;REGALIAS;71253824;0.006564
5120;1;5;2023;2;REGALIAS;388468022;0.040319
5120;1;5;2023;2;REGALIAS;370433550;0.038381
5120;1;6;2023;1;REGALIAS;167987;0.001472
5120;1;6;2023;1;REGALIAS;253102;0.000223
5120;1;6;2023;1;REGALIAS;526108;0.004842
5120;1;6;2023;2;REGALIAS;58494;0.000547
5120;1;6;2023;2;REGALIAS;516889;0.004634
5120;1;6;2023;2;REGALIAS;448160;0.003941
5129;1;2;2023;1;REGALIAS;425941;92438.82
5138;1;5;2023;1;REGALIAS;85738201;0.009748
5138;1;5;2023;1;REGALIAS;69818400;0.007841
5138;1;5;2023;1;REGALIAS;89583368;0.009773
5138;1;5;2023;2;REGALIAS;56575517;0.006165
5138;1;5;2023;2;REGALIAS;159720850;0.017128
5138;1;5;2023;2;REGALIAS;91664081;0.009842
5138;1;6;2023;1;REGALIAS;236861;0.002122
5138;1;6;2023;1;REGALIAS;34978;0.000304
5138;1;6;2023;1;REGALIAS;91337;0.000796
5138;1;6;2023;2;REGALIAS;142207;0.001299
5138;1;6;2023;2;REGALIAS;362017;0.000331
5138;1;6;2023;2;REGALIAS;223103;0.001926
5142;1;5;2023;1;REGALIAS;6628058;0.000748
5142;1;5;2023;1;REGALIAS;14329114;0.001593
5142;1;6;2023;1;REGALIAS;859;0.000007
5142;1;6;2023;1;REGALIAS;35918;0.000312
5154;1;2;2023;1;REGALIAS;1281303;7285.14
5154;1;4;2023;1;REGALIAS;2810883;25185.6
5154;1;5;2023;1;REGALIAS;7400793020;0.831386
5154;1;5;2023;1;REGALIAS;9023954290;0.988322
5154;1;5;2023;1;REGALIAS;8353419595;0.934976
5154;1;5;2023;2;REGALIAS;6436707508;0.681943
5154;1;5;2023;2;REGALIAS;8293589807;0.881649
5154;1;5;2023;2;REGALIAS;7940074965;0.844063
5154;1;6;2023;1;REGALIAS;8070832;0.071122
5154;1;6;2023;1;REGALIAS;9650253;0.085269
5154;1;6;2023;1;REGALIAS;9193098;0.087391
5154;1;6;2023;2;REGALIAS;6843981;0.063688
5154;1;6;2023;2;REGALIAS;9680924;0.085317
5154;1;6;2023;2;REGALIAS;7831938;0.069072
5154;1;11;2023;2;REGALIAS;2637;0
5172;1;2;2023;2;REGALIAS;1298499;6536.7
5172;1;4;2023;2;REGALIAS;2420484;19.2
5190;1;2;2023;1;REGALIAS;133241;1112.94
5190;1;2;2023;2;REGALIAS;100352;505.44
5190;1;4;2023;2;REGALIAS;165241;1310.4
5190;1;5;2023;1;REGALIAS;1774344;0.0002
5190;1;5;2023;1;REGALIAS;2227291;0.000264
5190;1;5;2023;1;REGALIAS;2762205;0.000368
5190;1;5;2023;2;REGALIAS;4754972;0.000632
5190;1;5;2023;2;REGALIAS;1056658;0.00014
5190;1;6;2023;1;REGALIAS;1027;0.000009
5190;1;6;2023;1;REGALIAS;1849;0.00002
5190;1;6;2023;1;REGALIAS;4872;0.000053
5190;1;6;2023;2;REGALIAS;9472;0.000101
5190;1;6;2023;2;REGALIAS;1835;0.00002
5197;1;4;2023;1;REGALIAS;7558192;67718.4
5234;1;14;2023;1;REGALIAS;101666;6
5234;1;2;2023;1;REGALIAS;1386599;0
5234;1;2;2023;2;REGALIAS;1049317;0
5234;1;4;2023;1;REGALIAS;558712;0
5234;1;4;2023;2;REGALIAS;657723;0
5234;1;5;2023;1;REGALIAS;351432619;0.040008
5234;1;5;2023;1;REGALIAS;260033946;0.028368
5234;1;5;2023;1;REGALIAS;268421499;0.029253
5234;1;5;2023;2;REGALIAS;239122698;0.025565
5234;1;5;2023;2;REGALIAS;290525860;0.031159
5234;1;5;2023;2;REGALIAS;292403441;0.031421
5234;1;6;2023;1;REGALIAS;356511;0.003199
5234;1;6;2023;1;REGALIAS;472240;0.004104
5234;1;6;2023;1;REGALIAS;546319;0.004928
5234;1;6;2023;2;REGALIAS;470430;0.004397
5234;1;6;2023;2;REGALIAS;596687;0.005234
5234;1;6;2023;2;REGALIAS;561646;0.004929
5234;1;11;2023;2;REGALIAS;1214;0
5237;1;2;2023;1;REGALIAS;341038;1939.14
5237;1;4;2023;1;REGALIAS;329479;295.2
5237;1;5;2023;1;REGALIAS;115648;0.000016
5237;1;5;2023;2;REGALIAS;229900;0.000033
5237;1;5;2023;2;REGALIAS;124608;0.000017
5237;1;5;2023;2;REGALIAS;331678;0.000047
5237;1;6;2023;1;REGALIAS;257;0.000003
5237;1;6;2023;2;REGALIAS;263;0.000003
5237;1;6;2023;2;REGALIAS;113;0.000001
5237;1;6;2023;2;REGALIAS;575;0.000006
5240;1;5;2023;2;REGALIAS;696171;0.000075
5240;1;5;2023;2;REGALIAS;805998;0.000087
5240;1;6;2023;2;REGALIAS;1692;0.000015
5240;1;6;2023;2;REGALIAS;1491;0.000013
5250;1;5;2023;1;REGALIAS;2252224949;0.356524
5250;1;5;2023;1;REGALIAS;3142177471;0.462744
5250;1;5;2023;1;REGALIAS;1866925607;0.261853
5250;1;5;2023;2;REGALIAS;2850256232;0.416657
5250;1;5;2023;2;REGALIAS;2738117526;0.426997
5250;1;5;2023;2;REGALIAS;2839989321;0.438966
5250;1;6;2023;1;REGALIAS;2955041;0.035339
5250;1;6;2023;1;REGALIAS;4003967;0.046243
5250;1;6;2023;1;REGALIAS;2456892;0.027887
5250;1;6;2023;2;REGALIAS;3270538;0.041457
5250;1;6;2023;2;REGALIAS;3317922;0.041694
5250;1;6;2023;2;REGALIAS;3609499;0.044686
5250;1;11;2023;2;REGALIAS;29315;0.000005
5266;1;3;2023;1;REGALIAS;486;0
5266;1;3;2023;2;REGALIAS;430;0
5266;1;4;2023;1;REGALIAS;71510;0
5266;1;4;2023;2;REGALIAS;77146;0
5282;1;2;2023;2;REGALIAS;801498;4035.42
5282;1;4;2023;1;REGALIAS;6160200;55192.8
5282;1;4;2023;2;REGALIAS;8361669;66326.4
5284;1;2;2023;1;REGALIAS;96925;0
5284;1;2;2023;2;REGALIAS;73400;0
5284;1;4;2023;1;REGALIAS;39055;0
5284;1;4;2023;2;REGALIAS;46008;0
5284;1;5;2023;1;REGALIAS;482630;0.000055
5284;1;5;2023;1;REGALIAS;998916;0.00011
5284;1;5;2023;1;REGALIAS;1783030;0.000194
5284;1;5;2023;2;REGALIAS;607554;0.000065
5284;1;6;2023;1;REGALIAS;579;0.000005
5284;1;6;2023;1;REGALIAS;2247;0.00002
5284;1;6;2023;1;REGALIAS;4539;0.000041
5284;1;6;2023;2;REGALIAS;1010;0.000009
5308;1;2;2023;1;REGALIAS;6156039;35003.34
5308;1;4;2023;1;REGALIAS;46537585;416940
5308;1;4;2023;2;REGALIAS;36349613;288326.4
5308;1;5;2023;1;REGALIAS;7105442;0.000534
5308;1;5;2023;2;REGALIAS;15067108;0.001078
5308;1;6;2023;1;REGALIAS;11795;0.000103
5308;1;6;2023;2;REGALIAS;23164;0.0002
5310;1;2;2023;2;REGALIAS;583308;2925.72
5310;1;4;2023;2;REGALIAS;17979;141.6
5310;1;5;2023;1;REGALIAS;24237858;0.002771
5310;1;5;2023;1;REGALIAS;11100875;0.001258
5310;1;5;2023;1;REGALIAS;18437842;0.002002
5310;1;5;2023;2;REGALIAS;6404290;0.000699
5310;1;5;2023;2;REGALIAS;6782986;0.000724
5310;1;5;2023;2;REGALIAS;38740878;0.004159
5310;1;6;2023;2;REGALIAS;1352;0.000012
5347;1;10;2023;1;REGALIAS;2715;1
5360;1;1;2023;1;REGALIAS;681476;2063
5360;1;1;2023;2;REGALIAS;835743;2979
5376;1;2;2023;1;REGALIAS;429304;2506.14
5376;1;3;2023;1;REGALIAS;203503;336
5376;1;4;2023;1;REGALIAS;928429;854.4
5390;1;2;2023;2;REGALIAS;378223;1746.36
5390;1;4;2023;2;REGALIAS;3785317;28696.8
5390;1;5;2023;2;REGALIAS;4335642;0.000462
5390;1;5;2023;2;REGALIAS;8016688;0.000859
5390;1;6;2023;2;REGALIAS;6518;0.000061
5390;1;6;2023;2;REGALIAS;10106;0.00009
5400;1;1;2023;1;REGALIAS;461;3
5400;1;2;2023;1;REGALIAS;11596;0
5400;1;3;2023;1;REGALIAS;5497;0
5400;1;4;2023;1;REGALIAS;25077;0
5425;1;5;2023;2;REGALIAS;3572603;0.000384
5467;1;15;2023;1;REGALIAS;520883;152
5480;1;2;2023;1;REGALIAS;1409709;8015.76
5480;1;2;2023;2;REGALIAS;2441467;12290.94
5480;1;4;2023;1;REGALIAS;11928501;106874.4
5480;1;4;2023;2;REGALIAS;20658861;16387.2
5480;1;5;2023;1;REGALIAS;352019;0.00004
5480;1;5;2023;1;REGALIAS;523823;0.000057
5480;1;6;2023;1;REGALIAS;239;0.000002
5480;1;6;2023;1;REGALIAS;682;0.000006
5495;1;5;2023;1;REGALIAS;3047231;0.000348
5495;1;5;2023;1;REGALIAS;14740834;0.001761
5495;1;5;2023;2;REGALIAS;90622712;0.000998
5495;1;5;2023;2;REGALIAS;62407568;0.006665
5495;1;6;2023;1;REGALIAS;1954;0.000018
5495;1;6;2023;1;REGALIAS;15132;0.000152
5495;1;6;2023;2;REGALIAS;148708;0.001313
5495;1;6;2023;2;REGALIAS;79280;0.000735
5579;1;5;2023;1;REGALIAS;247777493;0.028276
5579;1;5;2023;1;REGALIAS;239398392;0.026997
5579;1;5;2023;1;REGALIAS;138609075;0.015206
5579;1;5;2023;2;REGALIAS;253057541;0.027381
5579;1;5;2023;2;REGALIAS;319202401;0.034235
5579;1;5;2023;2;REGALIAS;283323840;0.030411
5579;1;6;2023;1;REGALIAS;7558390;0.070761
5579;1;6;2023;1;REGALIAS;10925615;0.095143
5579;1;6;2023;1;REGALIAS;133962;0.001185
5579;1;6;2023;2;REGALIAS;6220705;0.005701
5579;1;6;2023;2;REGALIAS;17354019;0.154173
5579;1;6;2023;2;REGALIAS;5292740;0.004593
5585;1;8;2023;1;REGALIAS;4828798;47599
5585;1;8;2023;2;REGALIAS;1693137;14776
5585;1;2;2023;2;REGALIAS;107;0
5585;1;3;2023;2;REGALIAS;335;0
5585;1;5;2023;1;REGALIAS;47333545;0.005347
5585;1;5;2023;1;REGALIAS;109913161;0.012076
5585;1;5;2023;1;REGALIAS;122539913;0.013355
5585;1;5;2023;2;REGALIAS;142932606;0.000153
5585;1;5;2023;2;REGALIAS;157478352;0.016895
5585;1;5;2023;2;REGALIAS;1904688;0.000205
5585;1;6;2023;1;REGALIAS;68981;0.000602
5585;1;6;2023;1;REGALIAS;127596;0.001109
5585;1;6;2023;1;REGALIAS;130787;0.001181
5585;1;6;2023;2;REGALIAS;90036;0.000837
5591;1;8;2023;1;REGALIAS;6789646;66928
5591;1;8;2023;2;REGALIAS;5757992;50251
5591;1;1;2023;1;REGALIAS;22975165;81886
5591;1;1;2023;2;REGALIAS;21881310;77988
5591;1;2;2023;2;REGALIAS;49559;469.05
5591;1;9;2023;1;REGALIAS;17430100;15214
5604;1;16;2023;1;REGALIAS;87332581;5858479
5604;1;16;2023;2;REGALIAS;44818860;1249478
5604;1;17;2023;1;REGALIAS;54975453;3687885
5604;1;17;2023;2;REGALIAS;33169428;2225085
5604;1;5;2023;1;REGALIAS;1858572384;0.290187
5604;1;5;2023;1;REGALIAS;1546261314;0.264671
5604;1;5;2023;1;REGALIAS;1917307641;0.022388
5604;1;5;2023;2;REGALIAS;2950066598;0.331602
5604;1;5;2023;2;REGALIAS;3324158001;0.374168
5604;1;5;2023;2;REGALIAS;1575578262;0.018415
5604;1;6;2023;1;REGALIAS;8705773;0.231877
5604;1;6;2023;1;REGALIAS;8246351;0.228128
5604;1;6;2023;1;REGALIAS;10495259;0.216183
5604;1;6;2023;2;REGALIAS;17852012;0.016825
5604;1;6;2023;2;REGALIAS;16119054;0.290964
5604;1;6;2023;2;REGALIAS;8725939;0.093387
5607;1;3;2023;1;REGALIAS;41614;676
5607;1;3;2023;2;REGALIAS;36804;530
5607;1;4;2023;1;REGALIAS;6119790;55471.2
5607;1;4;2023;2;REGALIAS;6602180;52982.4
5615;1;2;2023;1;REGALIAS;4810589;27352.08
5615;1;2;2023;2;REGALIAS;8597123;43278.3
5615;1;4;2023;1;REGALIAS;107200;960
5642;1;2;2023;1;REGALIAS;119942;0
5642;1;2;2023;2;REGALIAS;78730;0
5642;1;4;2023;1;REGALIAS;94921;0
5642;1;4;2023;2;REGALIAS;60604;0
5649;1;8;2023;1;REGALIAS;89385;850
5649;1;8;2023;2;REGALIAS;13915575;121443
5660;1;8;2023;1;REGALIAS;7264180;71606
5660;1;9;2023;2;REGALIAS;23586387;18227
5667;1;5;2023;1;REGALIAS;12781912;0.000164
5667;1;5;2023;1;REGALIAS;8369202;0.001028
5667;1;6;2023;1;REGALIAS;28528;0.00032
5667;1;6;2023;1;REGALIAS;20453;0.000214
5670;1;5;2023;1;REGALIAS;37202375;0.004254
5670;1;5;2023;1;REGALIAS;31211012;0.003509
5670;1;5;2023;1;REGALIAS;45153394;0.004902
5670;1;5;2023;2;REGALIAS;26854454;0.002885
5670;1;5;2023;2;REGALIAS;20391444;0.002179
5670;1;5;2023;2;REGALIAS;32067631;0.003446
5670;1;6;2023;1;REGALIAS;693426;0.006521
5670;1;6;2023;1;REGALIAS;456605;0.003968
5670;1;6;2023;1;REGALIAS;823632;0.007158
5670;1;6;2023;2;REGALIAS;197455;0.001805
5670;1;6;2023;2;REGALIAS;187112;0.001752
5670;1;6;2023;2;REGALIAS;98144;0.000847
5679;1;14;2023;1;REGALIAS;2492752;18484
5686;1;5;2023;1;REGALIAS;19745005;0.002253
5686;1;5;2023;1;REGALIAS;5270639;0.000595
5686;1;5;2023;1;REGALIAS;14344804;0.001561
5686;1;5;2023;2;REGALIAS;20150814;0.002204
5686;1;5;2023;2;REGALIAS;16657092;0.001777
5686;1;5;2023;2;REGALIAS;12777168;0.001372
5686;1;6;2023;1;REGALIAS;865260;0.008085
5686;1;6;2023;1;REGALIAS;43268;0.000376
5686;1;6;2023;1;REGALIAS;64682;0.000562
5686;1;6;2023;2;REGALIAS;414269;0.003661
5686;1;6;2023;2;REGALIAS;215190;0.002017
5686;1;6;2023;2;REGALIAS;453126;0.003911
5690;1;2;2023;1;REGALIAS;276236;1448.28
5690;1;2;2023;2;REGALIAS;339063;1707.48
5690;1;4;2023;2;REGALIAS;558310;4428
5690;1;5;2023;1;REGALIAS;739411253;0.083535
5690;1;5;2023;1;REGALIAS;850135117;0.092631
5690;1;5;2023;1;REGALIAS;421903878;0.046645
5690;1;5;2023;2;REGALIAS;613290681;0.066363
5690;1;5;2023;2;REGALIAS;942920845;0.101406
5690;1;5;2023;2;REGALIAS;748444369;0.080481
5690;1;6;2023;1;REGALIAS;15837948;0.139487
5690;1;6;2023;1;REGALIAS;30321671;0.263533
5690;1;6;2023;1;REGALIAS;5904944;0.053168
5690;1;6;2023;2;REGALIAS;11814417;0.108073
5690;1;6;2023;2;REGALIAS;12734253;0.111663
5690;1;6;2023;2;REGALIAS;11151766;0.098521
5736;1;5;2023;1;REGALIAS;901421750;0.334932
5736;1;5;2023;1;REGALIAS;1257373572;0.420177
5736;1;5;2023;1;REGALIAS;1157187149;0.475014
5736;1;5;2023;2;REGALIAS;922617302;0.448239
5736;1;5;2023;2;REGALIAS;878469844;0.464538
5736;1;5;2023;2;REGALIAS;657246728;0.472664
5736;1;6;2023;1;REGALIAS;6166976;0.507124
5736;1;6;2023;1;REGALIAS;4305420;0.327347
5736;1;6;2023;1;REGALIAS;11486186;0.996789
5736;1;6;2023;2;REGALIAS;4808489;0.425405
5736;1;6;2023;2;REGALIAS;10354219;0.872788
5736;1;6;2023;2;REGALIAS;8736272;0.764915
5756;1;8;2023;1;REGALIAS;56140877;553204
5756;1;8;2023;2;REGALIAS;35921015;313486
5761;1;7;2023;2;REGALIAS;71422351;3271
5761;1;2;2023;1;REGALIAS;5166996;19593.9
5761;1;2;2023;2;REGALIAS;3852083;11283.3
5761;1;4;2023;1;REGALIAS;9419873;84398.4
5761;1;4;2023;2;REGALIAS;17284353;128980.8
5790;1;13;2023;2;REGALIAS;278829;0
5790;1;5;2023;1;REGALIAS;249326927;0.020785
5790;1;5;2023;1;REGALIAS;296110920;0.023108
5790;1;5;2023;1;REGALIAS;127386447;0.009562
5790;1;5;2023;2;REGALIAS;269863622;0.020863
5790;1;5;2023;2;REGALIAS;137510923;0.000984
5790;1;5;2023;2;REGALIAS;71460233;0.000605
5790;1;6;2023;1;REGALIAS;253229;0.002246
5790;1;6;2023;1;REGALIAS;228593;0.001987
5790;1;6;2023;1;REGALIAS;109990;0.000983
5790;1;6;2023;2;REGALIAS;106948;0.000994
5790;1;6;2023;2;REGALIAS;43943;0.000382
5790;1;6;2023;2;REGALIAS;44730;0.000395
5792;1;2;2023;1;REGALIAS;3752492;24531.66
5792;1;2;2023;2;REGALIAS;2463132;14254.38
5792;1;4;2023;1;REGALIAS;2969705;30592.8
5792;1;4;2023;2;REGALIAS;1896055;17284.8
5809;1;7;2023;1;REGALIAS;689952765;10401
5809;1;7;2023;2;REGALIAS;1011656044;22895
5809;1;2;2023;1;REGALIAS;3589696;36015.84
5809;1;2;2023;2;REGALIAS;4904789;19883.88
5809;1;4;2023;1;REGALIAS;5323705;80032.8
5809;1;4;2023;2;REGALIAS;7963808;47551.2
5819;1;10;2023;1;REGALIAS;19457;45
5819;1;10;2023;2;REGALIAS;24417;19
5819;1;2;2023;1;REGALIAS;711001;5031.72
